"闇のシルエット","千之 ナイフ/著","児童書"
"ILSI","日本国際生命科学協会,ILSI Japan編集部会 編","デジタル資料"
"ジョディ・フォスター","梶原和男 責任編集","本"
"Poison","佐伯かよの 著","本"
"Forbes","ぎょうせい","デジタル資料"
"ベル・エポック","逢坂 みえこ/著","本"
"天使なんかじゃない","矢沢 あい/著","児童書"
"火輪","河惣 益巳/著","本"
"酒","河野友美編","本"
"オーストリア","トム・ストライスグス 著,後藤安彦 訳","児童書"
"俺たちに明日はある","原田菜生子 著","児童書"
"波涛","兵術同好会,波涛編集委員会 編","デジタル資料"
"うさぎ","槙村さとる 著","児童書"
"まゆこ","歌田典子作","児童書"
"韓国","服部民夫著","本"
"精神医療","批評社,「精神医療」編集委員会 編","デジタル資料"
"釣りキチ三平","矢口　高雄／著","児童書"
"ざしきわらし","水谷章三 脚本,篠崎三朗 画","児童書"
"ぼくはこのまま帰らない","内田 一奈/著","本"
"北海道の気候","札幌管区気象台編","本"
"タッジー・マッジー","山口 美由紀/著","児童書"
"Picasso","Picasso／〔画〕,Jean-Louis Ferrier／著","本"
"大地の顔役バギ","手塚　治虫／著","児童書"
"放課後の職員室","こいで みえこ/著","本"
"ピーターパン空の旅","永山　浩庸／写真,青砥　茂樹／写真","児童書"
"しぜん","とだ こうしろう/作・絵","児童書"
"バランタイン","小椋 冬美/著","児童書"
"イタリアンファッションブティック","溝口 敬章/著","本"
"蒼の封印","篠原 千絵/著","児童書"
"西蔵","西蔵自治区旅游局／編,中国旅遊出版社／編","本"
"最後の授業","アルフォンス・ドーデ 作,桜田佐 訳","児童書"
"香港","海外生活情報/編集","本"
"遺言","川井健 [ほか] 編集","本"
"スーパーペンギン・ペギントン","高尾博子作・絵","児童書"
"薬用植物","厚生省薬務局 監修","本"
"好きっていわない!","早稲田 ちえ/著","本"
"のりもの","とだ こうしろう/作・絵","児童書"
"ぼくのともだち","藤富保男詩,赤祖父ゆり絵","児童書"
"全国大学職員録","大学職員録刊行会/編","本"
